assignment_id,week_id,week_start,week_end,nT,rotation_group,rotation_round,pharmacy_id,location_id,shift_type,access_mode,schedule_source
O000132,2026-W08,2026-02-16,2026-02-23,1,1,1,P0006,L0006,STANDARD,P,optimized_fairness_aware
O000133,2026-W08,2026-02-16,2026-02-23,1,1,1,P0009,L0009,STANDARD,P,optimized_fairness_aware
O000134,2026-W08,2026-02-16,2026-02-23,1,1,1,P0010,L0010,STANDARD,P,optimized_fairness_aware
O000135,2026-W08,2026-02-16,2026-02-23,1,1,1,P0011,L0011,STANDARD,P,optimized_fairness_aware
O000136,2026-W08,2026-02-16,2026-02-23,1,1,1,P0012,L0012,STANDARD,P,optimized_fairness_aware
O000137,2026-W08,2026-02-16,2026-02-23,1,1,1,P0013,L0013,STANDARD,P,optimized_fairness_aware
O000138,2026-W08,2026-02-16,2026-02-23,1,1,1,P0014,L0014,STANDARD,P,optimized_fairness_aware
O000139,2026-W08,2026-02-16,2026-02-23,1,1,1,P0016,L0016,STANDARD,P,optimized_fairness_aware
O000140,2026-W08,2026-02-16,2026-02-23,1,1,1,P0017,L0017,STANDARD,C,optimized_fairness_aware
O000141,2026-W09,2026-02-23,2026-03-02,2,2,1,P0025,L0025,H24,P,optimized_fairness_aware
O000142,2026-W09,2026-02-23,2026-03-02,2,2,1,P0031,L0031,H24,P,optimized_fairness_aware
O000143,2026-W09,2026-02-23,2026-03-02,2,2,1,P0033,L0033,H24,P,optimized_fairness_aware
O000144,2026-W09,2026-02-23,2026-03-02,2,2,1,P0018,L0018,STANDARD,P,optimized_fairness_aware
O000145,2026-W09,2026-02-23,2026-03-02,2,2,1,P0019,L0019,STANDARD,P,optimized_fairness_aware
O000146,2026-W09,2026-02-23,2026-03-02,2,2,1,P0020,L0020,STANDARD,P,optimized_fairness_aware
O000147,2026-W09,2026-02-23,2026-03-02,2,2,1,P0021,L0021,STANDARD,P,optimized_fairness_aware
O000148,2026-W09,2026-02-23,2026-03-02,2,2,1,P0022,L0022,STANDARD,P,optimized_fairness_aware
O000149,2026-W09,2026-02-23,2026-03-02,2,2,1,P0023,L0023,STANDARD,P,optimized_fairness_aware
O000150,2026-W09,2026-02-23,2026-03-02,2,2,1,P0024,L0024,STANDARD,P,optimized_fairness_aware
O000151,2026-W09,2026-02-23,2026-03-02,2,2,1,P0026,L0026,STANDARD,P,optimized_fairness_aware
O000152,2026-W09,2026-02-23,2026-03-02,2,2,1,P0027,L0027,STANDARD,P,optimized_fairness_aware
O000153,2026-W09,2026-02-23,2026-03-02,2,2,1,P0028,L0028,STANDARD,P,optimized_fairness_aware
O000154,2026-W09,2026-02-23,2026-03-02,2,2,1,P0029,L0029,STANDARD,P,optimized_fairness_aware
O000155,2026-W09,2026-02-23,2026-03-02,2,2,1,P0030,L0030,STANDARD,P,optimized_fairness_aware
O000156,2026-W09,2026-02-23,2026-03-02,2,2,1,P0032,L0032,STANDARD,P,optimized_fairness_aware
O000157,2026-W09,2026-02-23,2026-03-02,2,2,1,P0034,L0034,STANDARD,P,optimized_fairness_aware
O000158,2026-W09,2026-02-23,2026-03-02,2,2,1,P0035,L0035,STANDARD,P,optimized_fairness_aware
O000159,2026-W10,2026-03-02,2026-03-09,3,3,1,P0041,L0041,H24,P,optimized_fairness_aware
O000160,2026-W10,2026-03-02,2026-03-09,3,3,1,P0047,L0047,H24,P,optimized_fairness_aware
O000161,2026-W10,2026-03-02,2026-03-09,3,3,1,P0051,L0051,H24,P,optimized_fairness_aware
O000162,2026-W10,2026-03-02,2026-03-09,3,3,1,P0036,L0036,STANDARD,P,optimized_fairness_aware
O000163,2026-W10,2026-03-02,2026-03-09,3,3,1,P0037,L0037,STANDARD,P,optimized_fairness_aware
O000164,2026-W10,2026-03-02,2026-03-09,3,3,1,P0038,L0038,STANDARD,P,optimized_fairness_aware
